Reference, Value, Footprint, Datasheet, Price (1500), Price, Distributor Part Number, Misc, Manufacturer Part Number
U3,CONN_BATT,,http://www.digikey.com/product-detail/en/S2B-PH-K-S(LF)(SN)/455-1719-ND/926626,0.06836,0.16,455-1719-ND,JST PH Right Angle,S2B-PH-K-S(LF)(SN)
C1,4.7uF,,http://www.digikey.com/product-detail/en/CL21A475KQFNNNE/1276-1198-1-ND/3889284,0.02640,0.14,1276-1198-1-ND,CAP CER 4.7UF 6.3V 10% X5R 0805,CL21A475KQFNNNE
U1,CONN_CHIP1,,http://www.digikey.com/product-detail/en/M20-9762042/952-1895-ND/3727862,0.7216,1.31,952-1895-ND,2x20 0.1",M20-9762042
U2,CONN_CHIP2,,http://www.digikey.com/product-detail/en/M20-9762042/952-1895-ND/3727862,0.7216,1.31,952-1895-ND,2x20 0.1",M20-9762042
Q2,DTC114YKA,,http://www.digikey.com/product-detail/en/DTC114YKAT146/DTC114YKAT146CT-ND/650713,0.04017,0.20,DTC114YKAT146CT-ND,,DTC114YKAT146
Q1,DTC114YKA,,http://www.digikey.com/product-detail/en/DTC114YKAT146/DTC114YKAT146CT-ND/650713,0.04017,0.20,DTC114YKAT146CT-ND,,DTC114YKAT146
R1,4.99_o,0805,http://www.digikey.com/product-detail/en/RC2012F4R99CS/1276-5173-1-ND/3968145,0.00408,0.10,1276-5173-1-ND,RES SMD 4.99 OHM 1% 1/8W 0805,RC2012F4R99CS
R2,4.99_o,0805,http://www.digikey.com/product-detail/en/RC2012F4R99CS/1276-5173-1-ND/3968145,0.00408,0.10,1276-5173-1-ND,RES SMD 4.99 OHM 1% 1/8W 0805,RC2012F4R99CS
R3,4.99_o,0805,http://www.digikey.com/product-detail/en/RC2012F4R99CS/1276-5173-1-ND/3968145,0.00408,0.10,1276-5173-1-ND,RES SMD 4.99 OHM 1% 1/8W 0805,RC2012F4R99CS
R4,4.99_o,0805,http://www.digikey.com/product-detail/en/RC2012F4R99CS/1276-5173-1-ND/3968145,0.00408,0.10,1276-5173-1-ND,RES SMD 4.99 OHM 1% 1/8W 0805,RC2012F4R99CS
C2,0.1uF,0805,http://www.digikey.com/product-detail/en/CL21B104KBCNNNC/1276-1003-1-ND/3889089,0.0114,0.10,1276-1003-1-ND,CAP CER 0.1UF 50V 10% X7R 0805,CL21B104KBCNNNC
R5,10ko,,http://www.digikey.com/product-detail/en/ERJ-6ENF1002V/P10.0KCCT-ND/119248,0.00675,0.10,P10.0KCCT-ND,RES SMD 10K OHM 1% 1/8W 0805,ERJ-6ENF1002V
U4,CONN_DISPLAY,,http://www.digikey.com/product-detail/en/62684-502100ALF/609-1202-1-ND/1003059,0.74712,1.35,609-1202-1-ND,,62684-502100ALF
BTN_UP1,SW_TACT,,http://www.digikey.com/product-detail/en/PTS525SM10SMTR%20LFS/CKN9104CT-ND/1146923,0.3498,0.65,CKN9104CT-ND,,PTS525SM10SMTR LFS
BTN_DOWN1,SW_TACT,,http://www.digikey.com/product-detail/en/PTS525SM10SMTR%20LFS/CKN9104CT-ND/1146923,0.3498,0.65,CKN9104CT-ND,,PTS525SM10SMTR LFS
BTN_LEFT1,SW_TACT,,http://www.digikey.com/product-detail/en/PTS525SM10SMTR%20LFS/CKN9104CT-ND/1146923,0.3498,0.65,CKN9104CT-ND,,PTS525SM10SMTR LFS
BTN_RIGHT1,SW_TACT,,http://www.digikey.com/product-detail/en/PTS525SM10SMTR%20LFS/CKN9104CT-ND/1146923,0.3498,0.65,CKN9104CT-ND,,PTS525SM10SMTR LFS
BTN_A1,SW_TACT,,http://www.digikey.com/product-detail/en/PTS525SM10SMTR%20LFS/CKN9104CT-ND/1146923,0.3498,0.65,CKN9104CT-ND,,PTS525SM10SMTR LFS
BTN_B1,SW_TACT,,http://www.digikey.com/product-detail/en/PTS525SM10SMTR%20LFS/CKN9104CT-ND/1146923,0.3498,0.65,CKN9104CT-ND,,PTS525SM10SMTR LFS
BTN_X1,SW_TACT,,http://www.digikey.com/product-detail/en/PTS525SM10SMTR%20LFS/CKN9104CT-ND/1146923,0.3498,0.65,CKN9104CT-ND,,PTS525SM10SMTR LFS
BTN_Y1,SW_TACT,,http://www.digikey.com/product-detail/en/PTS525SM10SMTR%20LFS/CKN9104CT-ND/1146923,0.3498,0.65,CKN9104CT-ND,,PTS525SM10SMTR LFS
BTN_START1,SW_TACT,,http://www.digikey.com/product-detail/en/PTS525SM10SMTR%20LFS/CKN9104CT-ND/1146923,0.3498,0.65,CKN9104CT-ND,,PTS525SM10SMTR LFS
BTN_SEL1,SW_TACT,,http://www.digikey.com/product-detail/en/PTS525SM10SMTR%20LFS/CKN9104CT-ND/1146923,0.3498,0.65,CKN9104CT-ND,,PTS525SM10SMTR LFS
BTN_L1,SW_TACT_RA,,http://www.digikey.com/product-detail/en/B3F-3120/SW407-ND/38364,0.28995,0.54,SW407-ND,,B3F-3120
BTN_R1,SW_TACT_RA,,http://www.digikey.com/product-detail/en/B3F-3120/SW407-ND/38364,0.28995,0.54,SW407-ND,,B3F-3120
D1,BAT54C,SOT-23,http://www.digikey.com/product-detail/en/BAT54C-7-F/BAT54C-FDICT-ND/717821,0.04017,0.20,BAT54C-FDICT-ND,,BAT54C-7-F
BT1,BATT_2032,,http://www.digikey.com/product-detail/en/BU2032SM-BT-GTR/BU2032SM-BT-GTR-ND/2439521,0.35,0.60,BU2032SM-BT-GCT-ND,BU2032SM-BT-GTR-ND,BU2032SM-BT-GTR
R6,10ko,,http://www.digikey.com/product-detail/en/ERJ-6ENF1002V/P10.0KCCT-ND/119248,0.00675,0.10,P10.0KCCT-ND,RES SMD 10K OHM 1% 1/8W 0805,ERJ-6ENF1002V
R7,10ko,,http://www.digikey.com/product-detail/en/ERJ-6ENF1002V/P10.0KCCT-ND/119248,0.00675,0.10,P10.0KCCT-ND,RES SMD 10K OHM 1% 1/8W 0805,ERJ-6ENF1002V
R8,10ko,,http://www.digikey.com/product-detail/en/ERJ-6ENF1002V/P10.0KCCT-ND/119248,0.00675,0.10,P10.0KCCT-ND,RES SMD 10K OHM 1% 1/8W 0805,ERJ-6ENF1002V
R9,10ko,,http://www.digikey.com/product-detail/en/ERJ-6ENF1002V/P10.0KCCT-ND/119248,0.00675,0.10,P10.0KCCT-ND,RES SMD 10K OHM 1% 1/8W 0805,ERJ-6ENF1002V
R10,10ko,,http://www.digikey.com/product-detail/en/ERJ-6ENF1002V/P10.0KCCT-ND/119248,0.00675,0.10,P10.0KCCT-ND,RES SMD 10K OHM 1% 1/8W 0805,ERJ-6ENF1002V
R11,10ko,,http://www.digikey.com/product-detail/en/ERJ-6ENF1002V/P10.0KCCT-ND/119248,0.00675,0.10,P10.0KCCT-ND,RES SMD 10K OHM 1% 1/8W 0805,ERJ-6ENF1002V
R12,10ko,,http://www.digikey.com/product-detail/en/ERJ-6ENF1002V/P10.0KCCT-ND/119248,0.00675,0.10,P10.0KCCT-ND,RES SMD 10K OHM 1% 1/8W 0805,ERJ-6ENF1002V
R15,10ko,,http://www.digikey.com/product-detail/en/ERJ-6ENF1002V/P10.0KCCT-ND/119248,0.00675,0.10,P10.0KCCT-ND,RES SMD 10K OHM 1% 1/8W 0805,ERJ-6ENF1002V
R16,10ko,,http://www.digikey.com/product-detail/en/ERJ-6ENF1002V/P10.0KCCT-ND/119248,0.00675,0.10,P10.0KCCT-ND,RES SMD 10K OHM 1% 1/8W 0805,ERJ-6ENF1002V
R17,10ko,,http://www.digikey.com/product-detail/en/ERJ-6ENF1002V/P10.0KCCT-ND/119248,0.00675,0.10,P10.0KCCT-ND,RES SMD 10K OHM 1% 1/8W 0805,ERJ-6ENF1002V
R18,10ko,,http://www.digikey.com/product-detail/en/ERJ-6ENF1002V/P10.0KCCT-ND/119248,0.00675,0.10,P10.0KCCT-ND,RES SMD 10K OHM 1% 1/8W 0805,ERJ-6ENF1002V
R19,10ko,,http://www.digikey.com/product-detail/en/ERJ-6ENF1002V/P10.0KCCT-ND/119248,0.00675,0.10,P10.0KCCT-ND,RES SMD 10K OHM 1% 1/8W 0805,ERJ-6ENF1002V
C3,0.1uF,0805,http://www.digikey.com/product-detail/en/CL21B104KBCNNNC/1276-1003-1-ND/3889089,0.0114,0.10,1276-1003-1-ND,CAP CER 0.1UF 50V 10% X7R 0805,CL21B104KBCNNNC
C4,10pF,0805,http://www.digikey.com/product-detail/en/CL21C100JBANNNC/1276-1109-1-ND/3889195,0.012,0.10,1276-1109-1-ND,CAP CER 10PF 50V 5% NP0 0805,CL21C100JBANNNC
R14,2.2ko,0805,http://www.digikey.com/product-detail/en/ERJ-6ENF2201V/P2.20KCCT-ND/1746832,0.008,0.10,P2.20KCCT-ND,RES SMD 2.2K OHM 1% 1/8W 0805,ERJ-6ENF2201V
