ref	value	datasheet	Price (1500)	Manufacturer Part #	Misc	Price	Distributor Part #	Item count
BT1	BATT_2032	http://www.digikey.com/product-detail/en/BU2032SM-BT-GTR/BU2032SM-BT-GTR-ND/2439521	0.35	BU2032SM-BT-GTR	BU2032SM-BT-GTR-ND	0.6	BU2032SM-BT-GCT-ND	1
BTN_A1..BTN_DOWN1	SW_TACT	http://www.digikey.com/product-detail/en/PTS525SM10SMTR%20LFS/CKN9104CT-ND/1146923	0.3498	PTS525SM10SMTR LFS		0.65	CKN9104CT-ND	3
BTN_L1	SW_TACT_RA	http://www.digikey.com/product-detail/en/B3F-3120/SW407-ND/38364	0.28995	B3F-3120		0.54	SW407-ND	1
BTN_LEFT1	SW_TACT	http://www.digikey.com/product-detail/en/PTS525SM10SMTR%20LFS/CKN9104CT-ND/1146923	0.3498	PTS525SM10SMTR LFS		0.65	CKN9104CT-ND	1
BTN_R1..BTN_R3	SW_TACT_RA	http://www.digikey.com/product-detail/en/B3F-3120/SW407-ND/38364	0.28995	B3F-3120		0.54	SW407-ND	3
BTN_RIGHT1..BTN_Y1	SW_TACT	http://www.digikey.com/product-detail/en/PTS525SM10SMTR%20LFS/CKN9104CT-ND/1146923	0.3498	PTS525SM10SMTR LFS		0.65	CKN9104CT-ND	6
"C1,C2"	0.1UF	http://www.digikey.com/product-detail/en/CL21B104KBCNNNC/1276-1003-1-ND/3889089	0.0114	CL21B104KBCNNNC	CAP CER 0.1UF 50V 10% X7R 0805	0.1	1276-1003-1-ND	2
C3	10UF	http://www.digikey.com/product-detail/en/CL21A106KPFNNNE/1276-1052-1-ND/3889138	0.0385	CL21A106KPFNNNE	CAP CER 10UF 10V 10% X5R 0805	0.2	1276-1052-1-ND	1
C4	10PF	http://www.digikey.com/product-detail/en/CL21C100JBANNNC/1276-1109-1-ND/3889195	0.012	CL21C100JBANNNC	CAP CER 10PF 50V 5% NP0 0805	0.1	1276-1109-1-ND	1
C5	3.3NF	http://www.digikey.com/product-detail/en/CL21B332KBANNNC/1276-1260-1-ND/3889346	0.0126	CL21B332KBANNNC	CAP CER 3300PF 50V 10% X7R 0805	0.1	1276-1260-1-ND	1
