Reference; Value; Footprint; Datasheet; Price (1500); Price; Misc; Distributor Part Number; Manufacturer Part Number
U2;CONN_CHIP1;;http://www.digikey.com/product-detail/en/M20-9762042/952-1895-ND/3727862;0.7216;1.31;2x20 0.1";952-1895-ND;M20-9762042
U1;CONN_CHIP2;;http://www.digikey.com/product-detail/en/M20-9762042/952-1895-ND/3727862;0.7216;1.31;2x20 0.1";952-1895-ND;M20-9762042
U7;CONN_DISPLAY;;http://www.digikey.com/product-detail/en/62684-502100ALF/609-1202-1-ND/1003059;0.74712;1.35;;609-1202-1-ND;62684-502100ALF
Q2;DTC114YKA;;http://www.digikey.com/product-detail/en/DTC114YKAT146/DTC114YKAT146CT-ND/650713;0.04017;0.20;;DTC114YKAT146CT-ND;DTC114YKAT146
Q1;DTC114YKA;;http://www.digikey.com/product-detail/en/DTC114YKAT146/DTC114YKAT146CT-ND/650713;0.04017;0.20;;DTC114YKAT146CT-ND;DTC114YKAT146
R1;4.99_o;0805;http://www.digikey.com/product-detail/en/RC2012F4R99CS/1276-5173-1-ND/3968145;0.00408;0.10;RES SMD 4.99 OHM 1% 1/8W 0805;1276-5173-1-ND;RC2012F4R99CS
R2;4.99_o;0805;http://www.digikey.com/product-detail/en/RC2012F4R99CS/1276-5173-1-ND/3968145;0.00408;0.10;RES SMD 4.99 OHM 1% 1/8W 0805;1276-5173-1-ND;RC2012F4R99CS
R3;4.99_o;0805;http://www.digikey.com/product-detail/en/RC2012F4R99CS/1276-5173-1-ND/3968145;0.00408;0.10;RES SMD 4.99 OHM 1% 1/8W 0805;1276-5173-1-ND;RC2012F4R99CS
R4;4.99_o;0805;http://www.digikey.com/product-detail/en/RC2012F4R99CS/1276-5173-1-ND/3968145;0.00408;0.10;RES SMD 4.99 OHM 1% 1/8W 0805;1276-5173-1-ND;RC2012F4R99CS
C1;0.1uF;0805;http://www.digikey.com/product-detail/en/CL21B104KBCNNNC/1276-1003-1-ND/3889089;0.0114;0.10;CAP CER 0.1UF 50V 10% X7R 0805;1276-1003-1-ND;CL21B104KBCNNNC
R5;10ko;;http://www.digikey.com/product-detail/en/ERJ-6ENF1002V/P10.0KCCT-ND/119248;0.00675;0.10;RES SMD 10K OHM 1% 1/8W 0805;P10.0KCCT-ND;ERJ-6ENF1002V
U9;TPA6203A1DGNR;;http://www.digikey.com/product-detail/en/TPA6203A1DGNR/296-19604-1-ND/1014221;0.3906;0.91;;296-19604-1-ND;TPA6203A1DGNR
SP1;SPEAK;;http://www.digikey.com/product-detail/en/2403%20260%2000001/423-1171-ND/3854649;0.88518;1.89;;423-1171-ND;2403 260 00001
R17;10ko;;http://www.digikey.com/product-detail/en/ERJ-6ENF1002V/P10.0KCCT-ND/119248;0.00675;0.10;RES SMD 10K OHM 1% 1/8W 0805;P10.0KCCT-ND;ERJ-6ENF1002V
R18;10ko;;http://www.digikey.com/product-detail/en/ERJ-6ENF1002V/P10.0KCCT-ND/119248;0.00675;0.10;RES SMD 10K OHM 1% 1/8W 0805;P10.0KCCT-ND;ERJ-6ENF1002V
R20;10ko;;http://www.digikey.com/product-detail/en/ERJ-6ENF1002V/P10.0KCCT-ND/119248;0.00675;0.10;RES SMD 10K OHM 1% 1/8W 0805;P10.0KCCT-ND;ERJ-6ENF1002V
R19;10ko;;http://www.digikey.com/product-detail/en/ERJ-6ENF1002V/P10.0KCCT-ND/119248;0.00675;0.10;RES SMD 10K OHM 1% 1/8W 0805;P10.0KCCT-ND;ERJ-6ENF1002V
C8;2.2uF;;http://www.digikey.com/product-detail/en/CL21B224KBFSFNE/1276-2948-1-ND/3891034;0.02283;0.12;CAP CER 0.22UF 50V 10% X7R 0805;1276-2948-1-ND;CL21B224KBFSFNE
C9;2.2uF;;http://www.digikey.com/product-detail/en/CL21B224KBFSFNE/1276-2948-1-ND/3891034;0.02283;0.12;CAP CER 0.22UF 50V 10% X7R 0805;1276-2948-1-ND;CL21B224KBFSFNE
C10;2.2uF;;http://www.digikey.com/product-detail/en/CL21B224KBFSFNE/1276-2948-1-ND/3891034;0.02283;0.12;CAP CER 0.22UF 50V 10% X7R 0805;1276-2948-1-ND;CL21B224KBFSFNE
C11;1uF;0805;http://www.digikey.com/product-detail/en/CL21B105KPFNNNE/1276-1275-1-ND/3889361;0.01821;0.10;CAP CER 1UF 10V 10% X7R 0805;1276-1275-1-ND;CL21B105KPFNNNE
C7;22uF;1206;http://www.digikey.com/product-detail/en/CL31A226KPHNNNE/1276-1287-1-ND/3889373;0.10511;0.37;CAP CER 22UF 10V 10% X5R 1206;1276-1287-1-ND;CL31A226KPHNNNE
R10;100ko;;http://www.digikey.com/product-detail/en/ERJ-6ENF1003V/P100KCCT-ND/119551;0.008;0.10;RES SMD 100K OHM 1% 1/8W 0805;P100KCCT-ND;ERJ-6ENF1003V
L1;470nH;;http://www.digikey.com/product-detail/en/NR3015T2R2M/587-1648-1-ND/1008263;0.22287;0.48;470NH 250MA 1.76 OHM;490-5674-1-ND;LQW2BASR47J00L
C6;22uF;1206;http://www.digikey.com/product-detail/en/CL31A226KPHNNNE/1276-1287-1-ND/3889373;0.10511;0.37;CAP CER 22UF 10V 10% X5R 1206;1276-1287-1-ND;CL31A226KPHNNNE
R11;100ko;;http://www.digikey.com/product-detail/en/ERJ-6ENF1003V/P100KCCT-ND/119551;0.008;0.10;RES SMD 100K OHM 1% 1/8W 0805;P100KCCT-ND;ERJ-6ENF1003V
R12;100ko;;http://www.digikey.com/product-detail/en/ERJ-6ENF1003V/P100KCCT-ND/119551;0.008;0.10;RES SMD 100K OHM 1% 1/8W 0805;P100KCCT-ND;ERJ-6ENF1003V
R13;100ko;;http://www.digikey.com/product-detail/en/ERJ-6ENF1003V/P100KCCT-ND/119551;0.008;0.10;RES SMD 100K OHM 1% 1/8W 0805;P100KCCT-ND;ERJ-6ENF1003V
R14;100ko;;http://www.digikey.com/product-detail/en/ERJ-6ENF1003V/P100KCCT-ND/119551;0.008;0.10;RES SMD 100K OHM 1% 1/8W 0805;P100KCCT-ND;ERJ-6ENF1003V
U4;CONN_MICROSD;;http://www.digikey.com/product-detail/en/5027740891/WM24066CT-ND/1952536;1.91922;3.64;WM24066TR-ND;WM24066CT-ND ;5027740891
R15;100ko;;http://www.digikey.com/product-detail/en/ERJ-6ENF1003V/P100KCCT-ND/119551;0.008;0.10;RES SMD 100K OHM 1% 1/8W 0805;P100KCCT-ND;ERJ-6ENF1003V
R16;100ko;;http://www.digikey.com/product-detail/en/ERJ-6ENF1003V/P100KCCT-ND/119551;0.008;0.10;RES SMD 100K OHM 1% 1/8W 0805;P100KCCT-ND;ERJ-6ENF1003V
U3;TPA6203A1DGNR;;http://www.digikey.com/product-detail/en/TPA6203A1DGNR/296-19604-1-ND/1014221;0.3906;0.91;;296-19604-1-ND;TPA6203A1DGNR
SP2;SPEAK;;http://www.digikey.com/product-detail/en/2403%20260%2000001/423-1171-ND/3854649;0.88518;1.89;;423-1171-ND;2403 260 00001
R6;10ko;;http://www.digikey.com/product-detail/en/ERJ-6ENF1002V/P10.0KCCT-ND/119248;0.00675;0.10;RES SMD 10K OHM 1% 1/8W 0805;P10.0KCCT-ND;ERJ-6ENF1002V
R7;10ko;;http://www.digikey.com/product-detail/en/ERJ-6ENF1002V/P10.0KCCT-ND/119248;0.00675;0.10;RES SMD 10K OHM 1% 1/8W 0805;P10.0KCCT-ND;ERJ-6ENF1002V
R9;10ko;;http://www.digikey.com/product-detail/en/ERJ-6ENF1002V/P10.0KCCT-ND/119248;0.00675;0.10;RES SMD 10K OHM 1% 1/8W 0805;P10.0KCCT-ND;ERJ-6ENF1002V
R8;10ko;;http://www.digikey.com/product-detail/en/ERJ-6ENF1002V/P10.0KCCT-ND/119248;0.00675;0.10;RES SMD 10K OHM 1% 1/8W 0805;P10.0KCCT-ND;ERJ-6ENF1002V
C2;2.2uF;;http://www.digikey.com/product-detail/en/CL21B224KBFSFNE/1276-2948-1-ND/3891034;0.02283;0.12;CAP CER 0.22UF 50V 10% X7R 0805;1276-2948-1-ND;CL21B224KBFSFNE
C3;2.2uF;;http://www.digikey.com/product-detail/en/CL21B224KBFSFNE/1276-2948-1-ND/3891034;0.02283;0.12;CAP CER 0.22UF 50V 10% X7R 0805;1276-2948-1-ND;CL21B224KBFSFNE
C4;2.2uF;;http://www.digikey.com/product-detail/en/CL21B224KBFSFNE/1276-2948-1-ND/3891034;0.02283;0.12;CAP CER 0.22UF 50V 10% X7R 0805;1276-2948-1-ND;CL21B224KBFSFNE
C5;1uF;0805;http://www.digikey.com/product-detail/en/CL21B105KPFNNNE/1276-1275-1-ND/3889361;0.01821;0.10;CAP CER 1UF 10V 10% X7R 0805;1276-1275-1-ND;CL21B105KPFNNNE
BTN_UP1;SW_TACT;;http://www.digikey.com/product-detail/en/PTS525SM10SMTR%20LFS/CKN9104CT-ND/1146923;0.3498;0.65;;CKN9104CT-ND;PTS525SM10SMTR LFS
BTN_DOWN1;SW_TACT;;http://www.digikey.com/product-detail/en/PTS525SM10SMTR%20LFS/CKN9104CT-ND/1146923;0.3498;0.65;;CKN9104CT-ND;PTS525SM10SMTR LFS
BTN_LEFT1;SW_TACT;;http://www.digikey.com/product-detail/en/PTS525SM10SMTR%20LFS/CKN9104CT-ND/1146923;0.3498;0.65;;CKN9104CT-ND;PTS525SM10SMTR LFS
BTN_RIGHT1;SW_TACT;;http://www.digikey.com/product-detail/en/PTS525SM10SMTR%20LFS/CKN9104CT-ND/1146923;0.3498;0.65;;CKN9104CT-ND;PTS525SM10SMTR LFS
BTN_A1;SW_TACT;;http://www.digikey.com/product-detail/en/PTS525SM10SMTR%20LFS/CKN9104CT-ND/1146923;0.3498;0.65;;CKN9104CT-ND;PTS525SM10SMTR LFS
BTN_B1;SW_TACT;;http://www.digikey.com/product-detail/en/PTS525SM10SMTR%20LFS/CKN9104CT-ND/1146923;0.3498;0.65;;CKN9104CT-ND;PTS525SM10SMTR LFS
BTN_X1;SW_TACT;;http://www.digikey.com/product-detail/en/PTS525SM10SMTR%20LFS/CKN9104CT-ND/1146923;0.3498;0.65;;CKN9104CT-ND;PTS525SM10SMTR LFS
BTN_Y1;SW_TACT;;http://www.digikey.com/product-detail/en/PTS525SM10SMTR%20LFS/CKN9104CT-ND/1146923;0.3498;0.65;;CKN9104CT-ND;PTS525SM10SMTR LFS
BTN_START1;SW_TACT;;http://www.digikey.com/product-detail/en/PTS525SM10SMTR%20LFS/CKN9104CT-ND/1146923;0.3498;0.65;;CKN9104CT-ND;PTS525SM10SMTR LFS
BTN_SEL1;SW_TACT;;http://www.digikey.com/product-detail/en/PTS525SM10SMTR%20LFS/CKN9104CT-ND/1146923;0.3498;0.65;;CKN9104CT-ND;PTS525SM10SMTR LFS
BTN_L1;SW_TACT_RA;;http://www.digikey.com/product-detail/en/B3F-3120/SW407-ND/38364;0.28995;0.54;;SW407-ND;B3F-3120
BTN_R1;SW_TACT_RA;;http://www.digikey.com/product-detail/en/B3F-3120/SW407-ND/38364;0.28995;0.54;;SW407-ND;B3F-3120
U5;PCF8563T/5;;http://www.digikey.com/product-detail/en/PCF8563T%2F5,518/568-6650-1-ND/2617089;0.5208;1.21;RTC;568-6650-1-ND;PCF8563T/5,518
D1;BAT54C;SOT-23;http://www.digikey.com/product-detail/en/BAT54C-7-F/BAT54C-FDICT-ND/717821;0.04017;0.20;;BAT54C-FDICT-ND;BAT54C-7-F
BT1;BATT_2032;;http://www.digikey.com/product-detail/en/BU2032SM-BT-GTR/BU2032SM-BT-GTR-ND/2439521;0.35;0.60;BU2032SM-BT-GTR-ND;BU2032SM-BT-GCT-ND;BU2032SM-BT-GTR
BTN_VOL_DOWN1;SW_TACT_RA;;http://www.digikey.com/product-detail/en/B3F-3120/SW407-ND/38364;0.28995;0.54;;SW407-ND;B3F-3120
BTN_VOL_UP1;SW_TACT_RA;;http://www.digikey.com/product-detail/en/B3F-3120/SW407-ND/38364;0.28995;0.54;;SW407-ND;B3F-3120
R21;10ko;;http://www.digikey.com/product-detail/en/ERJ-6ENF1002V/P10.0KCCT-ND/119248;0.00675;0.10;RES SMD 10K OHM 1% 1/8W 0805;P10.0KCCT-ND;ERJ-6ENF1002V
R22;10ko;;http://www.digikey.com/product-detail/en/ERJ-6ENF1002V/P10.0KCCT-ND/119248;0.00675;0.10;RES SMD 10K OHM 1% 1/8W 0805;P10.0KCCT-ND;ERJ-6ENF1002V
R23;10ko;;http://www.digikey.com/product-detail/en/ERJ-6ENF1002V/P10.0KCCT-ND/119248;0.00675;0.10;RES SMD 10K OHM 1% 1/8W 0805;P10.0KCCT-ND;ERJ-6ENF1002V
R24;10ko;;http://www.digikey.com/product-detail/en/ERJ-6ENF1002V/P10.0KCCT-ND/119248;0.00675;0.10;RES SMD 10K OHM 1% 1/8W 0805;P10.0KCCT-ND;ERJ-6ENF1002V
R25;10ko;;http://www.digikey.com/product-detail/en/ERJ-6ENF1002V/P10.0KCCT-ND/119248;0.00675;0.10;RES SMD 10K OHM 1% 1/8W 0805;P10.0KCCT-ND;ERJ-6ENF1002V
R26;10ko;;http://www.digikey.com/product-detail/en/ERJ-6ENF1002V/P10.0KCCT-ND/119248;0.00675;0.10;RES SMD 10K OHM 1% 1/8W 0805;P10.0KCCT-ND;ERJ-6ENF1002V
R27;10ko;;http://www.digikey.com/product-detail/en/ERJ-6ENF1002V/P10.0KCCT-ND/119248;0.00675;0.10;RES SMD 10K OHM 1% 1/8W 0805;P10.0KCCT-ND;ERJ-6ENF1002V
R30;10ko;;http://www.digikey.com/product-detail/en/ERJ-6ENF1002V/P10.0KCCT-ND/119248;0.00675;0.10;RES SMD 10K OHM 1% 1/8W 0805;P10.0KCCT-ND;ERJ-6ENF1002V
R31;10ko;;http://www.digikey.com/product-detail/en/ERJ-6ENF1002V/P10.0KCCT-ND/119248;0.00675;0.10;RES SMD 10K OHM 1% 1/8W 0805;P10.0KCCT-ND;ERJ-6ENF1002V
R32;10ko;;http://www.digikey.com/product-detail/en/ERJ-6ENF1002V/P10.0KCCT-ND/119248;0.00675;0.10;RES SMD 10K OHM 1% 1/8W 0805;P10.0KCCT-ND;ERJ-6ENF1002V
R33;10ko;;http://www.digikey.com/product-detail/en/ERJ-6ENF1002V/P10.0KCCT-ND/119248;0.00675;0.10;RES SMD 10K OHM 1% 1/8W 0805;P10.0KCCT-ND;ERJ-6ENF1002V
R34;10ko;;http://www.digikey.com/product-detail/en/ERJ-6ENF1002V/P10.0KCCT-ND/119248;0.00675;0.10;RES SMD 10K OHM 1% 1/8W 0805;P10.0KCCT-ND;ERJ-6ENF1002V
R35;10ko;;http://www.digikey.com/product-detail/en/ERJ-6ENF1002V/P10.0KCCT-ND/119248;0.00675;0.10;RES SMD 10K OHM 1% 1/8W 0805;P10.0KCCT-ND;ERJ-6ENF1002V
R36;10ko;;http://www.digikey.com/product-detail/en/ERJ-6ENF1002V/P10.0KCCT-ND/119248;0.00675;0.10;RES SMD 10K OHM 1% 1/8W 0805;P10.0KCCT-ND;ERJ-6ENF1002V
C12;0.1uF;0805;http://www.digikey.com/product-detail/en/CL21B104KBCNNNC/1276-1003-1-ND/3889089;0.0114;0.10;CAP CER 0.1UF 50V 10% X7R 0805;1276-1003-1-ND;CL21B104KBCNNNC
C13;10pF;0805;http://www.digikey.com/product-detail/en/CL21C100JBANNNC/1276-1109-1-ND/3889195;0.012;0.10;CAP CER 10PF 50V 5% NP0 0805;1276-1109-1-ND;CL21C100JBANNNC
R29;2.2ko;0805;http://www.digikey.com/product-detail/en/ERJ-6ENF2201V/P2.20KCCT-ND/1746832;0.008;0.10;RES SMD 2.2K OHM 1% 1/8W 0805;P2.20KCCT-ND;ERJ-6ENF2201V
R28;2.2ko;0805;http://www.digikey.com/product-detail/en/ERJ-6ENF2201V/P2.20KCCT-ND/1746832;0.008;0.10;RES SMD 2.2K OHM 1% 1/8W 0805;P2.20KCCT-ND;ERJ-6ENF2201V
X1;32768Hz/6pF;;http://www.digikey.com/product-detail/en/ABS25-32.768KHZ-6-T/535-10240-1-ND/2218053;0.3192;0.60;;535-10240-1-ND;ABS25-32.768KHZ-6-T
BTN_POWER1;SW_TACT;;http://www.digikey.com/product-detail/en/PTS525SM10SMTR%20LFS/CKN9104CT-ND/1146923;0.3498;0.65;;CKN9104CT-ND;PTS525SM10SMTR LFS
